               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11795,            0.063449,            0.054417,            0.056383,            0.073707,            0.037425,           0.0091297,            0.079781,            0.048566,            0.042406,            0.070789,           0.0032456,           0.0032456
                   1,            0.089166,            0.079019,            0.037741,             0.48249,             0.12941,            0.079731,            0.023335,            0.070633,            0.072733,            0.034395,            0.040724,           0.0065138,           0.0065138
                   2,            0.076488,            0.065917,            0.032467,             0.28508,             0.35686,             0.12498,            0.036227,             0.06317,            0.056545,            0.028426,            0.010593,            0.009716,            0.009716
                   3,            0.075297,             0.05955,            0.027736,             0.38414,             0.31172,             0.13926,            0.045902,            0.062308,            0.041767,            0.025446,            0.009703,            0.009703,            0.009703
                   4,            0.068507,            0.058736,            0.025623,             0.38999,             0.50822,             0.28834,              0.1046,            0.052199,            0.040623,            0.024416,            0.009703,            0.009703,            0.009703
                   5,             0.06576,            0.057666,            0.022643,             0.29682,             0.50498,             0.36403,             0.15383,            0.050835,            0.037711,            0.022899,            0.009604,            0.009604,            0.009604
                   6,            0.061668,             0.05792,             0.02186,             0.39337,             0.54099,             0.42084,             0.18208,            0.043858,            0.036017,            0.021608,            0.009505,            0.009505,            0.009505
                   7,            0.056969,            0.057915,            0.020175,             0.49699,             0.53349,             0.46815,             0.22097,            0.050071,             0.03476,            0.020795,            0.009406,            0.009406,            0.009406
                   8,            0.053756,            0.054655,            0.020293,             0.54389,             0.55258,              0.5533,              0.2665,             0.03884,            0.034125,            0.019755,            0.009307,            0.009307,            0.009307
                   9,            0.052922,            0.055853,              0.0196,             0.57376,             0.60951,             0.63109,             0.24829,            0.040763,            0.034473,            0.018143,            0.009208,            0.009208,            0.009208
                  10,            0.049796,            0.051279,             0.01948,             0.63189,             0.51358,             0.64637,             0.31835,            0.036452,            0.033678,            0.016901,            0.009109,            0.009109,            0.009109
                  11,            0.050729,            0.057634,            0.016401,             0.60214,             0.63157,             0.68969,             0.33616,            0.035177,            0.033042,            0.017069,             0.00901,             0.00901,             0.00901
                  12,            0.046783,            0.053527,            0.014022,             0.66347,             0.60178,             0.66947,             0.33816,            0.037173,             0.03306,            0.015902,            0.008911,            0.008911,            0.008911
                  13,            0.048874,             0.05572,            0.015762,             0.67637,             0.67794,             0.72777,             0.36073,            0.036132,            0.032175,            0.015377,            0.008812,            0.008812,            0.008812
