               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027888,            0.032127,            0.004217,             0.86889,             0.88135,             0.91991,             0.68901,            0.021265,            0.028982,           0.0025804,            0.006535,            0.006535,            0.006535
                  37,            0.028503,            0.036434,           0.0035787,             0.86087,             0.87404,             0.90996,              0.6594,            0.022655,            0.028552,           0.0027341,            0.006436,            0.006436,            0.006436
                  38,            0.027378,            0.035874,           0.0045404,             0.88936,             0.84828,             0.91816,             0.68513,            0.023141,            0.027965,            0.002956,            0.006337,            0.006337,            0.006337
                  39,            0.027551,            0.033345,           0.0030019,             0.85828,             0.87446,             0.91698,              0.6882,            0.021468,            0.028716,           0.0024367,            0.006238,            0.006238,            0.006238
                  40,             0.02646,            0.035585,           0.0024374,             0.86602,             0.88271,             0.92211,             0.70586,            0.021151,            0.029343,            0.002248,            0.006139,            0.006139,            0.006139
                  41,            0.027052,            0.033326,           0.0026662,             0.90567,             0.87879,             0.92805,             0.70373,            0.020829,             0.02858,           0.0022157,             0.00604,             0.00604,             0.00604
                  42,             0.02745,             0.03369,           0.0029691,             0.88961,             0.89988,             0.93495,              0.7235,            0.021134,            0.028197,           0.0021587,            0.005941,            0.005941,            0.005941
                  43,            0.026396,            0.033793,           0.0028638,             0.89556,             0.86032,             0.93009,             0.72487,            0.020078,             0.02902,            0.002136,            0.005842,            0.005842,            0.005842
                  44,            0.025734,            0.032083,            0.002709,              0.8855,             0.86597,             0.93098,             0.71692,            0.020271,            0.029105,           0.0021444,            0.005743,            0.005743,            0.005743
                  45,            0.025706,            0.029609,           0.0031494,             0.86099,             0.89759,             0.92273,             0.68482,            0.022868,            0.028323,           0.0026314,            0.005644,            0.005644,            0.005644
                  46,            0.025739,            0.032806,           0.0026576,             0.84294,              0.8489,             0.89698,             0.68759,            0.021407,            0.029102,           0.0038254,            0.005545,            0.005545,            0.005545
                  47,            0.024767,            0.030396,           0.0026524,             0.88537,              0.8785,             0.92362,             0.71784,            0.020439,            0.028844,           0.0023794,            0.005446,            0.005446,            0.005446
                  48,            0.025961,            0.032007,           0.0023408,             0.85735,             0.87688,             0.91171,             0.70123,            0.020697,            0.028969,           0.0022497,            0.005347,            0.005347,            0.005347
