               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.030983,            0.040612,           0.0048822,             0.87038,              0.8673,             0.92635,             0.65979,            0.022674,            0.029393,           0.0030399,            0.006436,            0.006436,            0.006436
                  38,            0.030319,            0.040731,           0.0051896,              0.8718,             0.82022,             0.91831,             0.66613,            0.023563,            0.028485,           0.0032823,            0.006337,            0.006337,            0.006337
                  39,            0.030114,            0.037266,           0.0041388,             0.83926,             0.85034,             0.90221,             0.64437,            0.022835,            0.028438,           0.0033526,            0.006238,            0.006238,            0.006238
                  40,            0.029092,            0.039941,           0.0033017,             0.88676,             0.84143,             0.90635,             0.67894,            0.022345,            0.028202,           0.0028598,            0.006139,            0.006139,            0.006139
                  41,            0.030525,            0.037789,           0.0037341,             0.91382,              0.8249,             0.93094,             0.70441,            0.020409,             0.02781,           0.0028203,             0.00604,             0.00604,             0.00604
                  42,            0.030135,            0.038099,            0.004772,             0.89783,             0.83955,             0.92944,             0.66881,            0.023338,            0.028529,           0.0026804,            0.005941,            0.005941,            0.005941
                  43,            0.029937,            0.038063,           0.0034618,             0.88841,             0.85674,             0.93211,             0.68563,            0.021605,            0.028088,           0.0025874,            0.005842,            0.005842,            0.005842
                  44,            0.028876,             0.03673,           0.0035376,             0.89602,              0.8727,             0.93118,             0.68656,            0.021266,            0.027816,           0.0026677,            0.005743,            0.005743,            0.005743
                  45,            0.028101,            0.033605,           0.0043174,             0.86636,              0.8855,             0.93268,             0.66232,            0.022991,            0.027606,           0.0025956,            0.005644,            0.005644,            0.005644
                  46,            0.027961,             0.03713,           0.0033594,             0.88157,             0.87074,             0.93268,             0.70112,            0.021066,            0.028053,           0.0025546,            0.005545,            0.005545,            0.005545
                  47,             0.02652,            0.034564,           0.0038033,              0.8746,             0.86009,             0.91658,             0.67148,            0.021869,            0.028871,           0.0027599,            0.005446,            0.005446,            0.005446
                  48,            0.028451,            0.036229,           0.0030214,             0.87918,             0.84104,             0.91952,             0.67938,            0.021356,            0.028851,            0.002677,            0.005347,            0.005347,            0.005347
                  49,            0.028002,            0.036294,           0.0026632,             0.91893,             0.83176,             0.93096,             0.66683,            0.022561,            0.028225,           0.0023118,            0.005248,            0.005248,            0.005248
                  50,            0.026378,              0.0374,           0.0025133,             0.89344,             0.83706,             0.93386,             0.70582,            0.021538,            0.027839,           0.0024221,            0.005149,            0.005149,            0.005149
                  51,            0.028068,            0.034081,           0.0027708,             0.88519,             0.84774,             0.92547,             0.68077,            0.022354,            0.027617,            0.002294,             0.00505,             0.00505,             0.00505
                  52,             0.02686,            0.036756,           0.0023774,              0.8919,             0.85641,              0.9306,              0.7103,            0.020169,            0.027486,           0.0023272,            0.004951,            0.004951,            0.004951
                  53,            0.026839,            0.037095,           0.0032618,             0.88397,             0.86867,             0.93088,             0.69948,            0.021741,            0.027841,           0.0024672,            0.004852,            0.004852,            0.004852
                  54,            0.025616,            0.036954,           0.0029357,             0.89273,              0.8685,             0.93316,             0.72012,            0.020189,            0.027479,           0.0020721,            0.004753,            0.004753,            0.004753
                  55,            0.025273,            0.037987,           0.0024049,             0.87151,             0.88712,             0.93963,              0.7256,            0.019497,            0.027749,           0.0018123,            0.004654,            0.004654,            0.004654
                  56,            0.025961,            0.036212,           0.0022119,             0.88691,             0.86612,              0.9343,             0.71491,            0.020038,            0.028389,           0.0018086,            0.004555,            0.004555,            0.004555
                  57,            0.026457,            0.035592,            0.002757,              0.9059,             0.85802,             0.93582,             0.70558,            0.020765,            0.028192,           0.0020209,            0.004456,            0.004456,            0.004456
                  58,            0.025193,            0.036275,           0.0025663,             0.89449,             0.80679,             0.91876,             0.69208,            0.020082,            0.028496,           0.0026976,            0.004357,            0.004357,            0.004357
                  59,            0.024618,            0.032549,           0.0027167,             0.87952,             0.86229,               0.937,             0.71301,            0.019581,             0.02757,           0.0021386,            0.004258,            0.004258,            0.004258
                  60,            0.024693,            0.033905,           0.0023221,             0.87621,             0.88609,             0.94267,             0.70742,            0.019949,            0.027489,           0.0020063,            0.004159,            0.004159,            0.004159
                  61,            0.025499,            0.035227,           0.0022593,             0.92119,              0.8396,             0.94278,             0.72857,            0.019698,            0.027376,           0.0018304,             0.00406,             0.00406,             0.00406
                  62,            0.026485,            0.034849,           0.0026374,             0.87491,             0.88028,             0.94239,             0.72433,            0.019366,            0.027669,           0.0017405,            0.003961,            0.003961,            0.003961
                  63,             0.02473,            0.033708,            0.002901,              0.8838,             0.87563,             0.94398,             0.71821,             0.01975,            0.028063,           0.0016538,            0.003862,            0.003862,            0.003862
                  64,            0.025159,            0.035241,           0.0021739,             0.89176,             0.87968,             0.94553,              0.7271,            0.019156,            0.027646,           0.0016744,            0.003763,            0.003763,            0.003763
                  65,            0.024289,            0.033204,           0.0026123,             0.88275,             0.90186,             0.94706,              0.7408,            0.018573,             0.02713,           0.0018329,            0.003664,            0.003664,            0.003664
                  66,            0.022864,            0.031716,           0.0020896,             0.88881,             0.88621,             0.94352,             0.71843,            0.019398,            0.027576,            0.001885,            0.003565,            0.003565,            0.003565
                  67,            0.023923,            0.034671,           0.0022612,             0.87925,             0.88851,             0.94611,             0.73689,            0.018896,            0.027663,           0.0016781,            0.003466,            0.003466,            0.003466
                  68,            0.023487,            0.036545,           0.0016817,             0.88981,             0.88197,              0.9416,             0.73405,            0.019245,            0.027916,           0.0015983,            0.003367,            0.003367,            0.003367
                  69,            0.022872,            0.036903,           0.0023561,             0.86696,             0.89476,             0.94035,             0.72663,            0.019233,            0.028046,           0.0016543,            0.003268,            0.003268,            0.003268
                  70,             0.02334,            0.033392,           0.0016807,             0.91385,             0.86031,             0.93227,             0.72649,            0.019107,            0.027753,           0.0017344,            0.003169,            0.003169,            0.003169
                  71,            0.022672,            0.036176,           0.0017321,             0.91157,             0.83638,             0.93344,             0.73464,            0.018994,            0.028251,           0.0016853,             0.00307,             0.00307,             0.00307
                  72,            0.022839,            0.032777,           0.0016591,             0.89847,             0.84158,             0.93451,             0.72654,            0.019147,             0.02893,           0.0016747,            0.002971,            0.002971,            0.002971
                  73,            0.023507,              0.0337,           0.0019945,             0.89281,             0.85586,             0.94098,             0.73734,            0.018701,            0.028098,           0.0016942,            0.002872,            0.002872,            0.002872
                  74,            0.021852,            0.032646,           0.0021142,             0.91732,             0.85318,             0.94158,             0.73367,            0.019204,            0.028356,           0.0016658,            0.002773,            0.002773,            0.002773
                  75,            0.020921,            0.031791,           0.0014213,             0.89136,             0.86687,             0.94124,             0.74201,            0.018714,            0.028322,           0.0017072,            0.002674,            0.002674,            0.002674
                  76,            0.021758,            0.030999,           0.0025368,             0.92209,              0.8334,              0.9409,             0.73903,            0.018549,            0.028259,           0.0014463,            0.002575,            0.002575,            0.002575
                  77,            0.021988,            0.033627,           0.0016134,             0.90889,             0.82882,             0.94218,             0.74425,            0.018887,             0.02843,           0.0013437,            0.002476,            0.002476,            0.002476
                  78,            0.021403,            0.031782,           0.0013143,             0.88303,             0.86192,             0.93822,             0.73883,            0.018716,            0.028293,           0.0013592,            0.002377,            0.002377,            0.002377
                  79,            0.020861,            0.029485,           0.0016596,             0.88111,             0.87359,              0.9418,             0.73768,            0.018591,            0.028186,           0.0013962,            0.002278,            0.002278,            0.002278
                  80,            0.020161,            0.030167,            0.001537,             0.89971,             0.85133,             0.94194,              0.7418,            0.017991,            0.027881,           0.0013374,            0.002179,            0.002179,            0.002179
                  81,            0.021358,             0.03467,           0.0017197,             0.89989,             0.85366,             0.94493,             0.74224,            0.018271,             0.02817,           0.0013288,             0.00208,             0.00208,             0.00208
                  82,            0.020453,            0.028081,           0.0022538,             0.88559,               0.876,             0.94348,             0.74051,            0.018315,            0.027655,           0.0012791,            0.001981,            0.001981,            0.001981
                  83,            0.019487,             0.02874,           0.0015686,             0.89895,              0.8697,             0.94307,             0.74618,             0.01807,            0.027661,           0.0013035,            0.001882,            0.001882,            0.001882
                  84,            0.021388,             0.03219,            0.001821,             0.88719,             0.88613,             0.94349,             0.74416,            0.018206,            0.027735,           0.0013018,            0.001783,            0.001783,            0.001783
                  85,            0.021059,            0.032416,           0.0012803,             0.89039,             0.87385,             0.94173,             0.74712,            0.017876,            0.027799,           0.0013232,            0.001684,            0.001684,            0.001684
                  86,            0.020006,            0.029551,            0.001531,             0.87971,             0.87992,             0.94296,             0.75032,            0.017677,            0.027877,            0.001339,            0.001585,            0.001585,            0.001585
                  87,            0.019379,            0.029663,           0.0011862,             0.88731,             0.87893,             0.93839,             0.74133,            0.017608,            0.028325,            0.001413,            0.001486,            0.001486,            0.001486
                  88,            0.020887,            0.028712,           0.0012281,             0.91159,             0.86285,             0.93474,             0.74367,            0.017541,            0.028309,           0.0014401,            0.001387,            0.001387,            0.001387
                  89,            0.019969,            0.030331,           0.0014985,             0.89355,             0.86612,             0.93089,             0.73974,            0.017955,            0.028442,           0.0015021,            0.001288,            0.001288,            0.001288
                  90,            0.020936,            0.030429,           0.0022088,             0.89281,             0.86788,             0.93314,             0.74007,            0.017822,            0.028304,           0.0015392,            0.001189,            0.001189,            0.001189
                  91,            0.018996,            0.027442,           0.0014443,             0.89658,             0.86321,             0.94166,             0.74971,            0.017767,            0.028328,           0.0015394,             0.00109,             0.00109,             0.00109
                  92,             0.02031,            0.031867,           0.0011727,             0.88498,             0.88529,               0.944,             0.75342,            0.017681,            0.028236,            0.001488,            0.000991,            0.000991,            0.000991
                  93,            0.019856,            0.031799,           0.0012952,               0.907,             0.86628,             0.94601,             0.75284,            0.017585,             0.02817,           0.0013884,            0.000892,            0.000892,            0.000892
                  94,            0.020184,            0.029954,           0.0012042,             0.91152,             0.86798,             0.94687,             0.75308,            0.017519,            0.027935,           0.0013219,            0.000793,            0.000793,            0.000793
                  95,            0.018787,             0.03119,           0.0011845,             0.90017,             0.87614,             0.94631,             0.75904,            0.017597,            0.028065,           0.0013016,            0.000694,            0.000694,            0.000694
                  96,            0.018535,            0.028615,            0.001287,             0.90235,             0.87172,             0.94567,             0.75761,            0.017578,            0.028241,           0.0012852,            0.000595,            0.000595,            0.000595
                  97,            0.018681,            0.028936,           0.0018688,             0.88883,             0.88374,             0.94345,             0.75681,            0.017599,            0.028483,           0.0012668,            0.000496,            0.000496,            0.000496
                  98,            0.019494,            0.030695,           0.0015237,             0.88413,             0.88099,             0.93997,             0.75322,            0.017621,            0.028408,           0.0012164,            0.000397,            0.000397,            0.000397
                  99,            0.018346,            0.029198,           0.0012253,             0.91526,             0.84926,             0.93936,             0.75282,            0.017585,            0.028425,           0.0012266,            0.000298,            0.000298,            0.000298
